domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,macro_f1
complexes,SMILES,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,SMILES_type,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,access,1.0,1.0,1.0,22,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,compound_id,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,compound_name,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,doi,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,doi_sourse,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,metal,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,origin_metal,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,origin_smiles,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,origin_target_value,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,page_metal,0.13636363636363635,0.13636363636363635,0.13636363636363635,3,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,page_smiles,0.6818181818181818,0.6818181818181818,0.6818181818181818,15,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,page_target_value,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,pdf,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,publisher,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,supplementary,1.0,1.0,1.0,22,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,target,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,title,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
complexes,year,1.0,1.0,1.0,22,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.19545454545454544
