domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
complexes,SMILES,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,SMILES_type,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,access,1.0,1.0,1.0,22,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,compound_id,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,compound_name,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,doi,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,doi_sourse,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,metal,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,origin_metal,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,origin_smiles,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
complexes,origin_target_value,0.0,0.0,0.0,0,22,22,22,,,technetium and rhenium coordination chemistry and nuclear medical applications,title,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T110627518801Z-technetium-and-rhenium-coordination-chemistry-an\reference.csv,0.19545454545454544
