domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
benzimidazoles,access,1.0,1.0,1.0,8,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,bacteria,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,bacteria_unified,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,compound_id,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,doi,1.0,1.0,1.0,8,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,origin_bacteria,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,origin_residue,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,origin_scaffold,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,origin_target,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
benzimidazoles,page_bacteria,0.0,0.0,0.0,0,8,8,8,10.5772/intechopen.108949,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T100557533142Z-current-development-in-the-synthesis-of-benzimid\reference.csv,0.125
