domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
co-crystals,SMILES_coformer,1.0,1.0,1.0,3,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_coformer_origin,0.0,0.0,0.0,0,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_coformer_page,1.0,1.0,1.0,3,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_coformer_type file,0.0,0.0,0.0,0,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_drug,1.0,1.0,1.0,3,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_drug_origin,0.0,0.0,0.0,0,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_drug_page,1.0,1.0,1.0,3,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,SMILES_drug_type_file,0.0,0.0,0.0,0,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,access,1.0,1.0,1.0,3,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
co-crystals,authors,0.0,0.0,0.0,0,3,3,3,10.3390/molecules29102208,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T105104092194Z-newcocrystals-of-ligustrazine-enhancing-hygrosco\reference.csv,0.4864864864864865
