domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
co-crystals,SMILES_coformer,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_coformer_origin,0.0,0.0,0.0,0,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_coformer_page,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_coformer_type file,0.0,0.0,0.0,0,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_drug,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_drug_origin,0.0,0.0,0.0,0,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_drug_page,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,SMILES_drug_type_file,0.0,0.0,0.0,0,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,access,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,authors,0.0,0.0,0.0,0,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,doi,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,journal,1.0,1.0,1.0,5,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
co-crystals,name_cocrystal,0.8,0.8,0.8000000000000002,4,5,5,5,10.1021/acs.molpharmaceut.4c00393,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Co-crystals\train-00000-of-00001 (3).parquet,C:\PyProjects\CheML-master\runs\Co-crystals\20260627T102834812857Z-highly-soluble-dacarbazine-multicomponent-crysta\reference.csv,0.4
